<!2 filez
TICKEg>,<PEf>,<DATE>4<TIME>,<OPEN>,<HIGH>,<LOW>,<CgLOSE>,dfve<VOL>
SPFB.RTS,1,20201201,120000,129350.0000000,129400.0000000,129310.0000000,129380.0000000,867
SPFB.RTS,1,20201201,120100,129380.0000000,129450.0000000,129360.0000000,129370.0000000,1470
SPFB.RTS,1,20201201,120200,129380.0000000,129410.0000000,129280.0000000,129300.0000000,1411
SPFB.RTS,1,20201201,120300,129300.0000000,129360.0000000,129280.0000000,129350.0000000,581
SPFB.RTS,1,20201201,120400,129340.0000000,129460.0000000,129320.0000000,129450.0000000,1237
SPFB.RTS,1,20201201,120500,129450.0000000,129560.0000000,129450.0000000,129510.0000000,3981
SPFB.RTS,1,20201201,120600,129500.0000000,129570.0000000,129440.0000000,129530.0000000,1500
SPFB.RTS,1,20201201,120700,129530.0000000,129560.0000000,129460.0000000,129460.0000000,969
SPFB.RTS,1,20201201,120800,129460.0000000,129510.0000000,129410.0000000,129470.0000000,861
SPFB.RTS,1,20201201,120900,129460.0000000,129570.0000000,129440.0000000,129560.0000000,608
SPFB.RTS,1,20201201,121000,129550.0000000,129710.0000000,129550.0000000,129630.0000000,4579
SPFB.RTS,1,20201201,121100,129630.0000000,129700.0000000,129610.0000000,129610.0000000,1572
SPFB.RTS,1,20201201,121200,129630.0000000,129700.0000000,129630.0000000,129670.0000000,737
SPFB.RTS,1,20201201,121300,129680.0000000,129750.0000000,129600.0000000,129610.0000000,2353
SPFB.RTS,1,20201201,121400,129620.0000000,129670.0000000,129600.0000000,129670.0000000,781
SPFB.RTS,1,20201201,121500,129670.0000000,129730.0000000,129600.0000000,129630.0000000,860
SPFB.RTS,1,20201201,121600,129620.0000000,129730.0000000,129610.0000000,129670.0000000,1237
SPFB.RTS,1,20201201,121700,129680.0000000,129790.0000000,129670.0000000,129740.0000000,1878
SPFB.RTS,1,20201201,121800,129740.0000000,129810.0000000,129690.0000000,129750.0000000,1330
SPFB.RTS,1,20201201,121900,129750.0000000,129770.0000000,129660.0000000,129670.0000000,1290
SPFB.RTS,1,20201201,122000,129660.0000000,129730.0000000,129650.0000000,129720.0000000,782
SPFB.RTS,1,20201201,122100,129720.0000000,129760.0000000,129700.0000000,129750.0000000,483
SPFB.RTS,1,20201201,122200,129760.0000000,129870.0000000,129760.0000000,129830.0000000,2042
